,AccountScore,BusinessType,Complexity,CustomerID,DateTime,DeviceRating,EquipmentPrice,MonthlyMaintenance,ProductCategory,ProductWeight,UsagePerDay,UsageType
71,67,LLC,3,98761276,4-2017,4,9354,3733,Fastners Firestop Strut,506,17,1
72,81,LLC,1,98761277,4-2017,5,8004,1112,Power Tools,456,19,2
73,77,LLC,1,98761277,4-2017,3,5546,3949,Hilti Services,21,0,2
74,96,LLC,2,98761277,4-2017,4,3377,2410,Contractor Services,911,11,1
75,34,LLC,3,98761277,4-2017,3,8305,3979,Fastners Firestop Strut,180,2,2
76,34,LLC,1,98761278,4-2017,3,1954,1030,Power Tools,508,11,1
77,57,LLC,3,98761278,4-2017,1,5912,1867,Hilti Services,704,15,2
78,89,LLC,1,98761278,4-2017,2,8758,4589,Contractor Services,676,14,2
79,75,LLC,3,98761278,4-2017,2,6642,4035,Fastners Firestop Strut,888,0,1
80,58,LLC,2,98761279,4-2017,1,6520,1765,Power Tools,202,6,1
81,80,LLC,2,98761279,4-2017,5,4300,707,Hilti Services,799,2,2
82,87,LLC,1,98761279,4-2017,4,5718,1046,Contractor Services,242,1,1
83,27,LLC,1,98761279,4-2017,4,4291,4390,Fastners Firestop Strut,33,20,1
84,33,LLC,1,98761280,4-2017,1,3032,2888,Power Tools,933,22,1
85,32,LLC,2,98761280,4-2017,5,518,4786,Hilti Services,307,0,3
86,97,LLC,2,98761280,4-2017,2,5165,2002,Contractor Services,639,16,3
87,41,LLC,2,98761280,4-2017,3,9148,3937,Fastners Firestop Strut,304,2,3
88,49,LLC,1,98761281,4-2017,3,5755,3222,Power Tools,229,0,1
89,34,LLC,3,98761281,4-2017,3,454,3049,Hilti Services,419,13,2
90,86,LLC,2,98761281,4-2017,3,4164,4814,Contractor Services,545,16,3
91,47,LLC,2,98761281,4-2017,2,321,2562,Fastners Firestop Strut,842,18,2
92,34,LLC,2,98761282,4-2017,4,7109,996,Power Tools,410,16,2
93,73,LLC,2,98761282,4-2017,5,4568,3088,Hilti Services,593,23,1
94,73,LLC,1,98761282,4-2017,1,1750,1172,Contractor Services,665,17,2
95,50,LLC,3,98761282,4-2017,5,7537,2488,Fastners Firestop Strut,517,19,3
96,100,LLC,3,98761283,4-2017,2,1355,1043,Power Tools,140,7,2
97,57,LLC,3,98761283,4-2017,1,1373,2462,Hilti Services,796,10,2
98,87,LLC,1,98761283,4-2017,5,9453,2396,Contractor Services,212,11,1
99,42,LLC,1,98761283,4-2017,3,6679,942,Fastners Firestop Strut,276,1,2
100,59,LLC,2,98761284,4-2017,5,457,1840,Power Tools,900,3,1
101,80,LLC,3,98761284,4-2017,4,5424,4932,Hilti Services,648,24,3
102,48,LLC,2,98761284,4-2017,1,9623,2080,Contractor Services,637,23,1
103,42,LLC,2,98761284,4-2017,4,2646,3062,Fastners Firestop Strut,871,13,2
104,63,LLC,1,98761285,4-2017,3,4605,4120,Power Tools,998,5,1
105,90,LLC,2,98761285,4-2017,4,5905,3657,Hilti Services,730,15,3
106,52,LLC,2,98761285,4-2017,4,5098,1684,Contractor Services,535,9,1
107,84,LLC,1,98761285,4-2017,2,3422,1383,Fastners Firestop Strut,707,17,3
108,36,LLC,1,98761286,4-2017,4,9672,3972,Power Tools,659,19,2
109,55,LLC,3,98761286,4-2017,5,4719,1811,Hilti Services,179,2,1
110,57,LLC,1,98761286,4-2017,1,3584,3595,Contractor Services,727,13,2
111,43,LLC,2,98761286,4-2017,4,7999,1275,Fastners Firestop Strut,860,24,1
112,29,LLC,2,98761287,4-2017,5,5293,3566,Power Tools,258,6,1
113,69,LLC,3,98761287,4-2017,3,4771,3229,Hilti Services,722,11,2
114,64,LLC,2,98761287,4-2017,1,2946,4475,Contractor Services,946,8,3
115,53,LLC,2,98761287,4-2017,5,559,4006,Fastners Firestop Strut,558,20,2
116,51,LLC,2,98761288,4-2017,4,9011,2962,Power Tools,154,2,2
117,83,LLC,2,98761288,4-2017,2,4989,3871,Hilti Services,171,10,2
118,90,LLC,3,98761288,4-2017,1,3695,3006,Contractor Services,668,3,2
119,52,LLC,2,98761288,4-2017,4,8900,1601,Fastners Firestop Strut,778,4,3
120,82,LLC,2,98761289,4-2017,3,9024,2204,Power Tools,223,8,2
121,35,LLC,1,98761289,4-2017,2,4568,2446,Hilti Services,358,2,3
122,100,LLC,2,98761289,4-2017,3,3964,1972,Contractor Services,989,17,3
123,44,LLC,2,98761289,4-2017,1,2127,4036,Fastners Firestop Strut,821,6,2
124,87,LLC,2,98761290,4-2017,1,7662,2458,Power Tools,22,2,1
125,42,LLC,2,98761290,4-2017,5,7552,4263,Hilti Services,732,21,1
126,26,LLC,3,98761290,4-2017,1,1796,3360,Contractor Services,120,2,1
127,41,LLC,1,98761290,4-2017,3,988,1924,Fastners Firestop Strut,321,8,3
128,65,LLC,1,98761291,4-2017,2,7825,2298,Power Tools,942,21,2
129,33,LLC,2,98761291,4-2017,5,7221,2906,Hilti Services,488,22,2
130,44,LLC,2,98761291,4-2017,5,7920,1390,Contractor Services,646,17,1
131,24,LLC,2,98761291,4-2017,5,9607,2402,Fastners Firestop Strut,522,20,3
132,64,LLC,2,98761292,4-2017,2,4045,1157,Power Tools,25,11,2
133,29,LLC,3,98761292,4-2017,1,1387,2947,Hilti Services,740,9,2
134,43,LLC,2,98761292,4-2017,5,4184,2190,Contractor Services,923,6,3
135,93,LLC,1,98761292,4-2017,5,4657,4943,Fastners Firestop Strut,349,5,1
136,25,LLC,1,98761293,4-2017,3,2015,3644,Power Tools,135,16,3
137,92,LLC,2,98761293,4-2017,4,8789,3718,Hilti Services,369,0,2
138,53,LLC,2,98761293,4-2017,3,656,1580,Contractor Services,108,24,3
139,65,LLC,3,98761293,4-2017,3,3916,3482,Fastners Firestop Strut,930,17,3
140,53,LLC,3,98761294,4-2017,3,4050,2929,Power Tools,662,10,3
141,48,LLC,2,98761294,4-2017,2,2552,3065,Hilti Services,181,23,1
142,77,LLC,3,98761294,4-2017,5,9106,4412,Contractor Services,575,17,2
143,97,LLC,2,98761294,4-2017,4,2569,2701,Fastners Firestop Strut,831,19,1
144,25,LLC,3,98761295,4-2017,1,2131,4796,Power Tools,682,24,3
145,88,LLC,2,98761295,4-2017,2,6233,3747,Hilti Services,949,23,3
146,52,LLC,1,98761295,4-2017,4,8657,3373,Contractor Services,135,13,3
147,30,LLC,1,98761295,4-2017,1,6723,2128,Fastners Firestop Strut,291,19,1
148,38,LLC,1,98761296,4-2017,5,1519,4089,Power Tools,125,11,2
149,72,LLC,3,98761296,4-2017,1,4366,1717,Hilti Services,704,18,3
150,56,LLC,2,98761296,4-2017,5,5827,3756,Contractor Services,769,5,1
151,100,LLC,1,98761296,4-2017,4,8059,4277,Fastners Firestop Strut,667,17,2
152,25,LLC,2,98761297,4-2017,5,904,1466,Power Tools,269,5,2
153,49,LLC,3,98761297,4-2017,3,5205,1540,Hilti Services,729,17,1
154,76,LLC,2,98761297,4-2017,1,1949,3480,Contractor Services,572,6,1
155,49,LLC,2,98761297,4-2017,4,1983,1364,Fastners Firestop Strut,516,17,2
156,86,LLC,2,98761298,4-2017,1,8973,4861,Power Tools,183,4,2
157,52,LLC,3,98761298,4-2017,4,7559,4673,Hilti Services,356,21,3
158,100,LLC,3,98761298,4-2017,2,9843,1659,Contractor Services,814,22,1
159,74,LLC,3,98761298,4-2017,1,354,3186,Fastners Firestop Strut,825,7,1
160,91,LLC,3,98761299,4-2017,3,894,4153,Power Tools,296,8,2
161,27,LLC,1,98761299,4-2017,4,1572,3404,Hilti Services,605,7,3
162,66,LLC,3,98761299,4-2017,2,4658,2555,Contractor Services,159,20,3
163,71,LLC,3,98761299,4-2017,5,6689,2490,Fastners Firestop Strut,616,9,2
164,100,LLC,3,98761300,4-2017,2,9994,1587,Power Tools,779,0,1
165,21,LLC,2,98761300,4-2017,3,3432,4228,Hilti Services,527,12,2
166,38,LLC,3,98761300,4-2017,5,605,3023,Contractor Services,130,0,1
167,83,LLC,2,98761300,4-2017,4,1919,2029,Fastners Firestop Strut,374,15,3
168,64,LLC,3,98761301,4-2017,5,3662,1143,Power Tools,697,2,3
169,37,LLC,2,98761301,4-2017,4,6140,2561,Hilti Services,237,13,1
170,35,LLC,2,98761301,4-2017,5,9729,3726,Contractor Services,459,17,1
171,84,LLC,1,98761301,4-2017,5,8996,1744,Fastners Firestop Strut,35,3,3
172,94,LLC,1,98761302,4-2017,1,8344,4442,Power Tools,552,2,2
173,76,LLC,3,98761302,4-2017,1,4267,3049,Hilti Services,133,16,3
174,34,LLC,1,98761302,4-2017,1,3396,2056,Contractor Services,449,19,3
175,90,LLC,1,98761302,4-2017,5,8974,4791,Fastners Firestop Strut,39,12,2
176,39,LLC,2,98761303,4-2017,3,3668,4665,Power Tools,261,12,2
177,25,LLC,2,98761303,4-2017,3,9279,3457,Hilti Services,885,18,1
178,99,LLC,1,98761303,4-2017,4,2505,1648,Contractor Services,280,10,3
179,40,LLC,3,98761303,4-2017,5,6269,1006,Fastners Firestop Strut,845,3,1
180,39,LLC,2,98761304,4-2017,4,3603,3232,Power Tools,547,2,1
181,100,LLC,2,98761304,4-2017,3,242,3332,Hilti Services,107,19,1
182,80,LLC,1,98761304,4-2017,3,6599,2936,Contractor Services,278,12,2
183,26,LLC,1,98761304,4-2017,1,1616,1756,Fastners Firestop Strut,809,8,3
184,25,LLC,3,98761305,4-2017,2,9216,944,Power Tools,319,8,1
185,85,LLC,2,98761305,4-2017,1,6619,3290,Hilti Services,275,19,2
186,89,LLC,2,98761305,4-2017,5,928,3440,Contractor Services,918,4,1
187,39,LLC,3,98761305,4-2017,3,5997,2327,Fastners Firestop Strut,770,11,1
188,38,LLC,1,98761306,4-2017,2,3823,4999,Power Tools,153,7,2
189,54,LLC,1,98761306,4-2017,5,8259,1388,Hilti Services,135,17,2
190,82,LLC,3,98761306,4-2017,1,6691,699,Contractor Services,775,8,3
191,55,LLC,3,98761306,4-2017,3,5529,1825,Fastners Firestop Strut,886,7,3
192,20,LLC,1,98761307,4-2017,4,3000,3505,Power Tools,25,7,3
193,80,LLC,1,98761307,4-2017,4,1703,1339,Hilti Services,332,0,2
194,66,LLC,1,98761307,4-2017,4,4307,1423,Contractor Services,906,14,1
195,34,LLC,2,98761307,4-2017,2,4601,2437,Fastners Firestop Strut,462,8,2
196,48,LLC,3,98761308,4-2017,4,2265,557,Power Tools,100,10,2
197,32,LLC,3,98761308,4-2017,1,8681,984,Hilti Services,269,10,3
198,80,LLC,1,98761308,4-2017,2,9071,1314,Contractor Services,111,12,2
199,67,LLC,2,98761308,4-2017,4,3693,1937,Fastners Firestop Strut,972,4,1
200,90,LLC,1,98761309,4-2017,4,2182,4602,Power Tools,292,6,3
201,32,LLC,3,98761309,4-2017,2,8050,787,Hilti Services,154,7,1
202,34,LLC,3,98761309,4-2017,4,1089,4078,Contractor Services,980,7,1
203,93,LLC,2,98761309,4-2017,5,8986,518,Fastners Firestop Strut,408,15,3
204,46,LLC,2,98761310,4-2017,1,999,1505,Power Tools,412,22,3
205,67,LLC,3,98761310,4-2017,1,9678,971,Hilti Services,230,15,3
206,57,LLC,1,98761310,4-2017,1,9207,3168,Contractor Services,739,13,2
207,87,LLC,1,98761310,4-2017,2,9248,3885,Fastners Firestop Strut,106,2,3
208,66,LLC,3,98761311,4-2017,1,7891,3670,Power Tools,912,9,3
209,35,LLC,2,98761311,4-2017,3,3833,4021,Hilti Services,206,4,2
210,92,LLC,2,98761311,4-2017,4,3666,3951,Contractor Services,59,8,1
211,76,LLC,1,98761311,4-2017,3,5893,4646,Fastners Firestop Strut,39,22,1
212,73,LLC,2,98761312,4-2017,2,3400,642,Power Tools,934,0,1
213,35,LLC,3,98761312,4-2017,2,4327,2590,Hilti Services,346,17,3
214,59,LLC,1,98761312,4-2017,3,1437,4972,Contractor Services,729,24,3
215,66,LLC,3,98761312,4-2017,2,1080,2749,Fastners Firestop Strut,168,24,1
216,52,LLC,2,98761313,4-2017,1,9325,3634,Power Tools,579,11,3
217,34,LLC,1,98761313,4-2017,5,1511,4575,Hilti Services,633,11,3
218,62,LLC,2,98761313,4-2017,3,9960,4187,Contractor Services,31,4,1
219,67,LLC,2,98761313,4-2017,2,6913,3406,Fastners Firestop Strut,1000,7,1
220,76,LLC,2,98761314,4-2017,3,5522,2812,Power Tools,762,4,2
221,70,LLC,3,98761314,4-2017,3,6156,4883,Hilti Services,609,8,3
222,87,LLC,2,98761314,4-2017,5,9932,2113,Contractor Services,594,5,1
223,47,LLC,3,98761314,4-2017,2,6569,948,Fastners Firestop Strut,120,12,3
224,92,LLC,3,98761315,4-2017,5,5504,3477,Power Tools,279,8,3
225,59,LLC,1,98761315,4-2017,3,7953,4178,Hilti Services,65,6,2
226,70,LLC,1,98761315,4-2017,3,7532,1693,Contractor Services,681,22,2
227,52,LLC,1,98761315,4-2017,5,3581,4827,Fastners Firestop Strut,465,5,3
228,49,LLC,2,98761316,4-2017,3,8488,3325,Power Tools,194,23,3
229,82,LLC,1,98761316,4-2017,1,5100,2947,Hilti Services,530,1,2
230,68,LLC,2,98761316,4-2017,5,8028,2990,Contractor Services,808,8,2
231,99,LLC,3,98761316,4-2017,3,6174,1587,Fastners Firestop Strut,266,14,2
232,59,LLC,1,98761317,4-2017,5,3469,4682,Power Tools,266,20,2
233,23,LLC,3,98761317,4-2017,3,3446,4450,Hilti Services,988,8,2
234,77,LLC,3,98761317,4-2017,2,8131,640,Contractor Services,538,14,2
235,22,LLC,2,98761317,4-2017,1,569,2059,Fastners Firestop Strut,362,13,3
236,22,LLC,2,98761318,4-2017,3,2436,2138,Power Tools,139,22,1
237,81,LLC,1,98761318,4-2017,4,4965,1764,Hilti Services,424,11,2
238,26,LLC,3,98761318,4-2017,1,9951,2112,Contractor Services,593,13,2
239,97,LLC,2,98761318,4-2017,2,6595,3128,Fastners Firestop Strut,522,3,3
240,83,LLC,3,98761319,4-2017,5,2092,4796,Power Tools,496,6,3
241,76,LLC,1,98761319,4-2017,2,1310,854,Hilti Services,863,19,1
242,37,LLC,1,98761319,4-2017,1,7698,1348,Contractor Services,670,1,3
243,64,LLC,2,98761319,4-2017,2,2447,4975,Fastners Firestop Strut,256,16,3
244,66,LLC,3,98761320,4-2017,3,6160,3299,Power Tools,977,14,1
245,66,LLC,2,98761320,4-2017,1,1837,3051,Hilti Services,123,22,2
246,62,LLC,1,98761320,4-2017,1,2721,3784,Contractor Services,332,14,1
247,96,LLC,1,98761320,4-2017,1,8793,1888,Fastners Firestop Strut,264,19,1
248,22,LLC,1,98761321,4-2017,2,4545,4602,Power Tools,766,2,1
249,29,LLC,2,98761321,4-2017,3,9608,4056,Hilti Services,31,2,3
250,93,LLC,3,98761321,4-2017,3,1725,2758,Contractor Services,272,16,2
251,76,LLC,3,98761321,4-2017,1,3925,3021,Fastners Firestop Strut,770,11,3
252,64,LLC,3,98761322,4-2017,3,5125,2039,Power Tools,383,15,2
253,92,LLC,1,98761322,4-2017,1,7764,3882,Hilti Services,775,10,1
254,96,LLC,3,98761322,4-2017,4,874,2927,Contractor Services,15,4,3
255,67,LLC,3,98761322,4-2017,3,9548,3241,Fastners Firestop Strut,147,8,3
256,89,LLC,3,98761323,4-2017,3,4679,2064,Power Tools,309,24,3
257,73,LLC,2,98761323,4-2017,1,3888,3929,Hilti Services,621,15,1
258,55,LLC,3,98761323,4-2017,5,8658,3666,Contractor Services,769,5,3
259,45,LLC,1,98761323,4-2017,3,9656,4174,Fastners Firestop Strut,420,10,1
260,89,LLC,3,98761324,4-2017,1,487,4432,Power Tools,894,19,3
261,26,LLC,1,98761324,4-2017,1,4175,3333,Hilti Services,29,16,1
262,77,LLC,1,98761324,4-2017,1,7742,3571,Contractor Services,437,22,1
263,87,LLC,1,98761324,4-2017,4,3719,873,Fastners Firestop Strut,941,13,3
264,42,LLC,1,98761325,4-2017,1,2037,3963,Power Tools,779,20,1
265,73,LLC,2,98761325,4-2017,5,614,2872,Hilti Services,440,8,3
266,89,LLC,1,98761325,4-2017,5,8272,3885,Contractor Services,637,3,3
267,98,LLC,3,98761325,4-2017,1,1030,2457,Fastners Firestop Strut,25,3,3
268,64,LLC,2,98761326,4-2017,3,810,3762,Power Tools,739,17,1
269,56,LLC,1,98761326,4-2017,3,1016,2190,Hilti Services,929,9,2
270,46,LLC,3,98761326,4-2017,1,4558,2916,Contractor Services,332,10,1
271,90,LLC,3,98761326,4-2017,5,8434,2901,Fastners Firestop Strut,861,7,2
272,28,LLC,3,98761327,4-2017,5,3241,1146,Power Tools,129,18,1
273,79,LLC,2,98761327,4-2017,4,7571,1181,Hilti Services,64,24,2
274,98,LLC,3,98761327,4-2017,3,8651,2196,Contractor Services,949,0,3
275,76,LLC,3,98761327,4-2017,5,8503,2512,Fastners Firestop Strut,820,1,1
276,89,LLC,2,98761328,4-2017,4,8150,1435,Power Tools,677,3,1
277,32,LLC,1,98761328,4-2017,3,206,1695,Hilti Services,62,16,3
278,62,LLC,1,98761328,4-2017,5,6854,785,Contractor Services,256,9,1
279,94,LLC,1,98761328,4-2017,5,3704,3016,Fastners Firestop Strut,78,4,3
280,25,LLC,1,98761329,4-2017,4,612,2577,Power Tools,747,7,3
281,94,LLC,2,98761329,4-2017,4,1769,2067,Hilti Services,471,22,2
282,79,LLC,1,98761329,4-2017,3,3292,1355,Contractor Services,845,16,3
283,73,LLC,3,98761329,4-2017,3,684,1464,Fastners Firestop Strut,478,14,1
284,38,LLC,2,98761330,4-2017,2,7101,4353,Power Tools,421,19,2
285,61,LLC,2,98761330,4-2017,4,6279,2462,Hilti Services,1000,8,1
286,62,LLC,1,98761330,4-2017,1,2452,3176,Contractor Services,595,22,1
287,64,LLC,1,98761330,4-2017,1,4786,3192,Fastners Firestop Strut,366,20,3
288,65,LLC,3,98761331,4-2017,5,7909,1748,Power Tools,611,20,1
289,21,LLC,1,98761331,4-2017,1,804,1575,Hilti Services,481,13,2
290,28,LLC,1,98761331,4-2017,2,249,2229,Contractor Services,954,23,2
291,45,LLC,1,98761331,4-2017,1,6766,3052,Fastners Firestop Strut,388,13,2
292,95,LLC,2,98761332,4-2017,5,7222,3915,Power Tools,710,18,1
293,97,LLC,3,98761332,4-2017,1,7001,3456,Hilti Services,671,8,3
294,92,LLC,1,98761332,4-2017,5,2819,4391,Contractor Services,142,1,2
295,23,LLC,3,98761332,4-2017,3,5620,3223,Fastners Firestop Strut,675,20,3
296,54,LLC,3,98761333,4-2017,4,9663,4625,Power Tools,266,3,1
297,70,LLC,2,98761333,4-2017,4,5957,3855,Hilti Services,413,22,2
298,58,LLC,1,98761333,4-2017,3,6607,800,Contractor Services,663,1,1
299,29,LLC,3,98761333,4-2017,1,8133,937,Fastners Firestop Strut,138,14,2
300,31,LLC,1,98761334,4-2017,2,7408,3344,Power Tools,467,22,1
301,69,LLC,1,98761334,4-2017,3,6478,2303,Hilti Services,823,7,1
302,50,LLC,1,98761334,4-2017,5,7795,3381,Contractor Services,66,4,1
303,60,LLC,3,98761334,4-2017,5,9994,1095,Fastners Firestop Strut,930,21,2
304,46,LLC,2,98761335,4-2017,3,648,3422,Power Tools,813,4,2
305,75,LLC,2,98761335,4-2017,1,4640,1915,Hilti Services,219,24,2
306,95,LLC,2,98761335,4-2017,2,3870,3999,Contractor Services,284,19,1
307,93,LLC,2,98761335,4-2017,1,1894,876,Fastners Firestop Strut,709,5,3
308,94,LLC,3,98761336,4-2017,3,1003,1177,Power Tools,503,11,2
309,40,LLC,2,98761336,4-2017,2,8715,1870,Hilti Services,454,8,1
310,82,LLC,1,98761336,4-2017,2,3699,2137,Contractor Services,148,17,1
311,89,LLC,3,98761336,4-2017,5,6743,2979,Fastners Firestop Strut,314,6,1
312,84,LLC,2,98761337,4-2017,3,6396,4648,Power Tools,669,7,3
313,28,LLC,2,98761337,4-2017,3,3421,4119,Hilti Services,61,5,2
314,68,LLC,3,98761337,4-2017,3,5203,4157,Contractor Services,614,10,2
315,84,LLC,2,98761337,4-2017,5,4939,4264,Fastners Firestop Strut,137,8,2
316,49,LLC,3,98761338,4-2017,5,8584,1794,Power Tools,182,1,2
317,86,LLC,2,98761338,4-2017,5,7877,4030,Hilti Services,763,22,3
318,47,LLC,2,98761338,4-2017,5,9973,2481,Contractor Services,337,2,2
319,66,LLC,1,98761338,4-2017,4,2899,4870,Fastners Firestop Strut,439,9,2
320,92,LLC,1,98761339,4-2017,1,7481,3075,Power Tools,581,8,2
321,20,LLC,2,98761339,4-2017,4,1037,2099,Hilti Services,149,3,2
322,33,LLC,1,98761339,4-2017,2,6149,3816,Contractor Services,567,1,1
323,35,LLC,1,98761339,4-2017,4,2486,895,Fastners Firestop Strut,602,5,2
324,92,LLC,2,98761340,4-2017,5,463,1048,Power Tools,836,3,3
325,36,LLC,3,98761340,4-2017,1,7828,780,Hilti Services,372,12,2
326,38,LLC,2,98761340,4-2017,3,9332,3364,Contractor Services,633,21,3
327,84,LLC,3,98761340,4-2017,4,801,759,Fastners Firestop Strut,885,17,1
328,32,LLC,3,98761341,4-2017,5,8858,975,Power Tools,933,18,1
329,41,LLC,2,98761341,4-2017,5,5245,4408,Hilti Services,832,17,1
330,84,LLC,3,98761341,4-2017,4,898,2156,Contractor Services,450,13,2
331,71,LLC,2,98761341,4-2017,5,4110,4866,Fastners Firestop Strut,451,15,1
332,96,LLC,3,98761342,4-2017,4,6175,1695,Power Tools,536,8,3
333,31,LLC,2,98761342,4-2017,1,2581,1242,Hilti Services,640,0,3
334,23,LLC,3,98761342,4-2017,1,8538,4162,Contractor Services,850,17,3
335,78,LLC,1,98761342,4-2017,1,3860,4247,Fastners Firestop Strut,840,1,3
336,57,LLC,3,98761343,4-2017,4,5909,1439,Power Tools,403,23,1
337,33,LLC,3,98761343,4-2017,3,1157,3935,Hilti Services,447,7,3
338,60,LLC,3,98761343,4-2017,4,2595,4353,Contractor Services,584,23,1
