,BookToMarket,BusinessPosition,BusinessType,Businessvolume,CustomerID,DateTime,EquipmentPrice,HoursUsage,Marketcap,MonthlyMaintenance,Noofdevices,NumberOfEmployees,ProductWeight,Profit,TotalRevenue,category,Rank
50,2.85,Growth,1,1,98761271,Apr-17,8703,16,1,957,38,125,596,0.7,7,Contractor Services,2
51,2.89,Growth,1,3,98761271,Apr-17,8942,16,7,1647,37,125,838,0.18,2,Fastners Firestop Strut,1
52,2.2,Decline,1,1,98761272,Apr-17,5702,5,1,3108,30,120,309,0.4,4,Power Tools,1
53,2.08,Decline,1,3,98761272,Apr-17,8139,13,3,1008,10,120,501,0.86,3,Hilti Services,1
54,2.58,Decline,1,3,98761272,Apr-17,4210,5,8,1233,70,120,687,0.59,2,Contractor Services,3
55,1.38,Decline,1,1,98761272,Apr-17,5623,6,10,2223,53,120,531,0.35,2,Fastners Firestop Strut,3
56,2.44,Growth,1,3,98761273,Apr-17,9110,11,5,690,42,125,775,0.54,9,Power Tools,1
57,0.59,Growth,1,2,98761273,Apr-17,3256,14,3,3419,24,125,185,0.71,1,Hilti Services,1
58,2.99,Growth,1,1,98761273,Apr-17,2580,1,5,1610,20,125,844,0.68,10,Contractor Services,3
59,1.19,Growth,1,2,98761273,Apr-17,3124,9,2,2185,16,125,971,0.82,10,Fastners Firestop Strut,1
60,0.45,Growth,1,3,98761274,Apr-17,7806,6,6,1450,18,400,565,0.46,4,Power Tools,1
61,1.47,Growth,1,2,98761274,Apr-17,3012,10,7,4912,40,400,846,0.92,4,Hilti Services,2
62,2,Growth,1,3,98761274,Apr-17,628,3,10,2920,48,400,316,0.16,9,Contractor Services,1
63,1.52,Growth,1,3,98761274,Apr-17,3571,8,1,2205,11,400,954,0.29,7,Fastners Firestop Strut,1
64,0.61,Growth,1,2,98761275,Apr-17,3972,4,5,1249,48,3500,311,0.39,9,Power Tools,2
65,1.26,Growth,1,3,98761275,Apr-17,6147,13,6,4218,37,3500,167,0.78,10,Hilti Services,2
66,1.81,Growth,1,3,98761275,Apr-17,9498,3,3,2861,21,3500,494,0.51,6,Contractor Services,1
67,2.46,Growth,1,2,98761275,Apr-17,1743,8,6,689,23,3500,250,0.18,3,Fastners Firestop Strut,2
68,2.54,Growth,1,2,98761276,Apr-17,8363,9,2,4507,24,750,273,0.41,10,Power Tools,2
69,0.77,Growth,1,1,98761276,Apr-17,6164,11,9,2494,38,750,391,0.12,10,Hilti Services,1
70,2.69,Growth,1,2,98761276,Apr-17,232,12,6,1220,67,750,842,0.92,6,Contractor Services,3
71,2.13,Growth,1,2,98761276,Apr-17,9123,16,8,1041,60,750,591,0.28,9,Fastners Firestop Strut,2
72,0.82,Stable,1,3,98761277,Apr-17,6268,1,1,4081,40,678,815,0.99,6,Power Tools,1
73,2.3,Stable,1,1,98761277,Apr-17,9295,7,5,3658,46,678,225,0.83,6,Hilti Services,1
74,2.5,Stable,1,1,98761277,Apr-17,3122,6,6,1385,43,678,237,0.99,7,Contractor Services,2
75,2.84,Stable,1,2,98761277,Apr-17,7793,3,8,4668,26,678,812,0.28,3,Fastners Firestop Strut,3
76,2.18,Growth,1,1,98761309,Apr-17,4609,11,5,2717,33,7500,654,0.25,10,Power Tools,2
77,1.79,Growth,1,2,98761309,Apr-17,4938,4,5,1416,18,7500,604,0.54,6,Hilti Services,3
78,1.55,Growth,1,3,98761309,Apr-17,399,10,8,2824,18,7500,255,0.98,2,Contractor Services,1
79,2.08,Growth,1,3,98761309,Apr-17,3003,10,1,1711,63,7500,452,0.37,7,Fastners Firestop Strut,3
80,0.45,Stable,1,1,98761310,Apr-17,1358,3,2,3240,33,350,148,0.15,7,Power Tools,1
81,0.43,Stable,1,1,98761310,Apr-17,2949,4,9,2580,14,350,738,0.88,2,Hilti Services,1
82,0.81,Stable,1,3,98761310,Apr-17,1278,13,6,2046,35,350,948,0.24,9,Contractor Services,1
83,2.96,Stable,1,1,98761310,Apr-17,8856,12,3,3488,30,350,442,0.43,7,Fastners Firestop Strut,2
84,1.74,Growth,1,3,98761311,Apr-17,8828,6,10,627,46,750,768,0.72,6,Power Tools,1
85,1.29,Growth,1,3,98761311,Apr-17,7917,15,10,2281,39,750,328,0.99,5,Hilti Services,3
86,2.35,Growth,1,3,98761311,Apr-17,4749,1,7,4518,10,750,939,0.84,6,Contractor Services,3
87,0.38,Growth,1,3,98761311,Apr-17,1197,2,8,3651,20,750,783,0.24,8,Fastners Firestop Strut,3
88,1.39,Growth,1,1,98761312,Apr-17,7364,4,3,1652,20,350,601,0.18,2,Power Tools,2
89,2.53,Growth,1,3,98761312,Apr-17,5995,11,10,2908,57,350,101,0.68,3,Hilti Services,3
90,0.98,Growth,1,1,98761312,Apr-17,6984,10,4,1285,25,350,758,0.58,9,Contractor Services,3
91,2.81,Growth,1,3,98761312,Apr-17,3940,1,5,4042,43,350,802,0.75,8,Fastners Firestop Strut,3
92,0.93,Growth,1,3,98761313,Apr-17,8713,13,3,2668,32,350,144,0.86,10,Power Tools,3
93,1.41,Growth,1,2,98761313,Apr-17,588,16,9,4479,41,350,598,0.51,10,Hilti Services,2
94,1.31,Growth,1,1,98761313,Apr-17,1053,14,1,4989,52,350,438,0.19,6,Contractor Services,2
95,0.57,Growth,1,3,98761313,Apr-17,288,9,5,3508,24,350,669,0.6,4,Fastners Firestop Strut,3
96,1.71,Stable,1,1,98761314,Apr-17,6655,7,4,3401,61,3500,926,0.37,9,Power Tools,1
97,0.85,Stable,1,2,98761314,Apr-17,4728,4,10,4686,59,3500,313,0.42,3,Hilti Services,1
98,1.78,Stable,1,2,98761314,Apr-17,1205,4,1,1361,51,3500,480,0.63,2,Contractor Services,3
99,2.21,Stable,1,2,98761314,Apr-17,5530,11,6,3193,57,3500,856,0.83,9,Fastners Firestop Strut,3
100,1.02,Growth,1,1,98761315,Apr-17,7443,4,5,3912,20,42,930,0.81,7,Power Tools,3
101,2.27,Growth,1,1,98761315,Apr-17,2609,13,4,3836,13,42,290,0.4,7,Hilti Services,3
102,0.95,Growth,1,1,98761315,Apr-17,534,5,1,1609,40,42,420,0.74,4,Contractor Services,3
103,2.22,Growth,1,3,98761315,Apr-17,3635,2,9,2151,12,42,358,0.86,4,Fastners Firestop Strut,1
104,2.15,Growth,1,3,98761316,Apr-17,216,1,2,603,46,170,985,0.6,1,Power Tools,3
105,2.72,Growth,1,2,98761316,Apr-17,5773,10,7,2921,42,170,950,0.52,8,Hilti Services,1
106,2.88,Growth,1,2,98761316,Apr-17,7217,12,7,2996,19,170,795,0.86,6,Contractor Services,2
107,0.89,Growth,1,1,98761316,Apr-17,6234,16,2,2332,61,170,489,0.85,4,Fastners Firestop Strut,2
108,2.2,Growth,1,1,98761317,Apr-17,8831,2,3,4848,21,750,691,0.9,9,Power Tools,2
109,0.82,Growth,1,2,98761317,Apr-17,9707,2,1,1218,63,750,798,0.34,1,Hilti Services,3
110,2.35,Growth,1,3,98761317,Apr-17,9756,11,4,3652,32,750,626,0.74,6,Contractor Services,3
111,1.74,Growth,1,1,98761317,Apr-17,2535,5,7,1528,38,750,541,0.35,2,Fastners Firestop Strut,2
112,2.67,Growth,1,3,98761318,Apr-17,3079,3,5,4991,60,42,774,0.99,4,Power Tools,3
113,2.3,Growth,1,3,98761318,Apr-17,3271,14,2,3493,14,42,541,0.44,1,Hilti Services,3
114,0.6,Growth,1,1,98761318,Apr-17,9628,15,3,1825,54,42,739,0.98,10,Contractor Services,3
115,0.84,Growth,1,3,98761318,Apr-17,4166,10,6,2235,28,42,964,0.51,2,Fastners Firestop Strut,2
116,2.74,Growth,1,2,98761333,Apr-17,7285,7,6,3982,56,7500,370,0.91,5,Power Tools,2
117,1.31,Growth,1,1,98761333,Apr-17,7461,5,8,710,27,7500,922,0.26,1,Hilti Services,2
118,2.27,Growth,1,2,98761333,Apr-17,959,5,2,1648,37,7500,374,0.66,5,Contractor Services,2
119,2.42,Growth,1,1,98761333,Apr-17,1192,1,8,3232,67,7500,953,0.55,8,Fastners Firestop Strut,1
120,0.57,Growth,1,1,98761334,Apr-17,2829,5,6,3422,38,3500,236,0.77,6,Power Tools,1
121,2.17,Growth,1,3,98761334,Apr-17,4920,3,10,4225,52,3500,884,0.95,3,Hilti Services,2
122,1.67,Growth,1,1,98761334,Apr-17,6347,2,4,1188,33,3500,225,0.28,2,Contractor Services,1
123,1.03,Growth,1,1,98761334,Apr-17,1184,2,10,659,13,3500,350,0.68,9,Fastners Firestop Strut,1
124,0.94,Decline,1,1,98761335,Apr-17,8882,4,8,1202,42,750 ,374,0.59,3,Power Tools,2
125,0.88,Decline,1,2,98761335,Apr-17,7548,9,6,4391,56,750 ,215,0.9,2,Hilti Services,1
126,1.58,Decline,1,1,98761335,Apr-17,5621,8,9,920,37,750 ,333,0.43,2,Contractor Services,1
127,2.93,Decline,1,2,98761335,Apr-17,1399,6,7,1440,17,750 ,684,0.47,4,Fastners Firestop Strut,3
128,0.7,Decline,1,2,98761336,Apr-17,9435,8,8,1516,15,3500,404,0.81,8,Power Tools,2
129,2.81,Decline,1,1,98761336,Apr-17,1732,3,8,4543,12,3500,413,0.62,6,Hilti Services,3
130,2.59,Decline,1,3,98761336,Apr-17,1563,10,3,4856,62,3500,208,0.65,2,Contractor Services,2
131,1.78,Decline,1,3,98761336,Apr-17,2851,10,4,3787,35,3500,180,0.12,5,Fastners Firestop Strut,3
132,0.85,Decline,1,1,98761337,Apr-17,4156,2,3,735,37,350,688,0.21,9,Power Tools,2
133,2.48,Decline,1,1,98761337,Apr-17,1150,5,3,4335,10,350,880,0.12,7,Hilti Services,2
134,1.7,Decline,1,1,98761337,Apr-17,6276,1,4,3052,60,350,375,0.8,1,Contractor Services,2
135,1.72,Decline,1,2,98761337,Apr-17,2595,16,3,1378,47,350,317,0.61,4,Fastners Firestop Strut,3
136,0.93,Decline,1,1,98761338,Apr-17,6927,15,7,2110,37,170,272,0.47,5,Power Tools,3
137,0.33,Decline,1,1,98761338,Apr-17,6107,16,5,2829,47,170,874,0.44,4,Hilti Services,3
138,2.73,Decline,1,2,98761338,Apr-17,6587,4,7,2292,69,170,575,0.35,7,Contractor Services,1
139,2.02,Decline,1,1,98761338,Apr-17,7973,2,2,4446,45,170,139,0.24,4,Fastners Firestop Strut,1
140,2.55,Decline,1,3,98761339,Apr-17,2269,4,1,2590,15,350,941,0.35,3,Power Tools,2
141,1.19,Decline,1,1,98761339,Apr-17,8937,3,1,4613,53,350,457,0.92,2,Hilti Services,3
142,0.79,Decline,1,3,98761339,Apr-17,545,6,6,3217,17,350,926,0.29,9,Contractor Services,3
143,1.03,Decline,1,3,98761339,Apr-17,4771,8,9,2734,17,350,198,0.68,4,Fastners Firestop Strut,1
144,1.29,Decline,1,1,98761340,Apr-17,5186,6,10,1872,38,750,960,0.26,1,Power Tools,2
145,2.19,Decline,1,3,98761340,Apr-17,1421,8,6,3109,47,750,334,0.98,8,Hilti Services,3
146,2.15,Decline,1,2,98761340,Apr-17,3269,6,4,4448,70,750,345,0.77,6,Contractor Services,3
147,0.71,Decline,1,1,98761340,Apr-17,6713,6,3,1168,64,750,425,0.49,8,Fastners Firestop Strut,2
148,1.24,Decline,1,1,98761341,Apr-17,9748,7,8,3229,42,350,439,0.31,6,Power Tools,2
149,2.93,Decline,1,3,98761341,Apr-17,8566,7,5,827,15,350,703,0.34,3,Hilti Services,3
150,1.69,Decline,1,2,98761341,Apr-17,1109,14,1,3645,12,350,573,0.45,4,Contractor Services,2
151,2.66,Decline,1,1,98761341,Apr-17,1420,7,10,1266,52,350,498,0.12,4,Fastners Firestop Strut,1
152,1.79,Stable,1,2,98761342,Apr-17,231,16,2,3074,48,350 ,965,0.11,4,Power Tools,1
153,0.42,Stable,1,3,98761342,Apr-17,1414,1,10,846,33,350 ,756,0.11,4,Hilti Services,1
154,2.62,Stable,1,2,98761342,Apr-17,9402,2,8,931,15,350 ,630,0.97,6,Contractor Services,3
155,1.15,Stable,1,3,98761342,Apr-17,5564,13,10,3158,31,350 ,338,0.64,7,Fastners Firestop Strut,1
156,2.33,Decline,1,1,98761343,Apr-17,9439,13,9,832,49,3500,143,0.39,10,Power Tools,2
157,1.07,Decline,1,1,98761343,Apr-17,5092,10,3,2099,70,3500,809,0.77,5,Hilti Services,2
158,1.62,Decline,1,1,98761343,Apr-17,537,14,9,1118,11,3500,721,0.63,6,Contractor Services,2
159,2.41,Decline,1,2,98761343,Apr-17,1954,15,5,4026,37,3500,935,0.74,10,Fastners Firestop Strut,2
160,2.89,Stable,1,2,98761344,Apr-17,4321,3,1,1623,20,170,265,0.67,9,Power Tools,3
161,1.91,Stable,1,3,98761344,Apr-17,4000,16,8,1619,20,170,354,0.22,7,Hilti Services,1
162,0.46,Stable,1,1,98761344,Apr-17,7633,6,6,3213,68,170,393,0.6,1,Contractor Services,1
163,0.41,Stable,1,2,98761344,Apr-17,4357,9,1,1158,69,170,782,0.83,8,Fastners Firestop Strut,2
164,0.51,Decline,1,2,98761345,Apr-17,8026,4,5,4437,54,170,784,0.75,6,Power Tools,3
165,0.44,Decline,1,2,98761345,Apr-17,4652,15,6,4079,45,170,702,0.38,3,Hilti Services,1
166,1.3,Decline,1,2,98761345,Apr-17,2769,4,10,4485,68,170,601,0.21,7,Contractor Services,2
167,1.64,Decline,1,3,98761345,Apr-17,1878,14,4,2268,29,170,662,0.29,10,Fastners Firestop Strut,2
168,1.18,Decline,1,1,98761346,Apr-17,5118,7,10,1286,60,750,788,0.42,9,Power Tools,2
169,1.59,Decline,1,1,98761346,Apr-17,4199,10,8,4819,20,750,391,0.33,7,Hilti Services,3
170,2.66,Decline,1,1,98761346,Apr-17,519,6,9,3305,19,750,690,0.36,10,Contractor Services,3
171,1.57,Decline,1,1,98761346,Apr-17,5132,15,10,1270,55,750,927,0.8,5,Fastners Firestop Strut,3
172,2.71,Decline,1,3,98761347,Apr-17,5770,11,3,1947,62,350,329,0.86,5,Power Tools,1
173,2.66,Decline,1,1,98761347,Apr-17,894,11,6,3173,14,350,850,0.56,7,Hilti Services,3
174,2.9,Decline,1,2,98761347,Apr-17,3789,11,9,750,59,350,379,0.45,2,Contractor Services,3
175,0.9,Decline,1,2,98761347,Apr-17,5690,2,10,3237,69,350,897,0.18,6,Fastners Firestop Strut,2
176,1.4,Decline,1,1,98761348,Apr-17,7658,1,9,4812,16,500,848,0.39,10,Power Tools,3
177,0.32,Decline,1,2,98761348,Apr-17,2397,13,5,3290,54,500,955,0.71,5,Hilti Services,2
178,0.5,Decline,1,1,98761348,Apr-17,4010,16,2,606,67,500,716,0.42,4,Contractor Services,2
179,0.98,Decline,1,3,98761348,Apr-17,5039,7,7,1098,16,500,318,0.47,3,Fastners Firestop Strut,3
180,0.35,Decline,1,2,98761349,Apr-17,5172,10,4,2486,59,800,647,0.17,3,Power Tools,3
181,1.92,Decline,1,2,98761349,Apr-17,7798,3,5,4886,63,800,487,0.42,5,Hilti Services,2
182,2.62,Decline,1,1,98761349,Apr-17,6949,11,7,4416,26,800,704,0.24,5,Contractor Services,1
183,2.67,Decline,1,1,98761349,Apr-17,4587,6,5,2719,59,800,500,0.98,4,Fastners Firestop Strut,1
184,0.92,Decline,1,1,98761350,Apr-17,9231,12,5,655,56,800,906,0.2,7,Power Tools,1
185,1.23,Decline,1,3,98761350,Apr-17,2191,7,1,4906,60,800,687,0.48,1,Hilti Services,2
186,0.45,Decline,1,1,98761350,Apr-17,2058,12,2,2126,20,800,659,0.99,4,Contractor Services,2
187,2.9,Decline,1,2,98761350,Apr-17,2406,11,7,1931,17,800,577,0.47,1,Fastners Firestop Strut,3
188,2.07,Decline,1,2,98761351,Apr-17,8039,9,7,4212,34,1000,352,0.72,7,Power Tools,3
189,0.51,Decline,1,2,98761351,Apr-17,9140,11,3,3437,57,1000,249,0.81,9,Hilti Services,3
190,1.39,Decline,1,1,98761351,Apr-17,8461,14,4,621,56,1000,974,0.48,3,Contractor Services,1
191,1.58,Decline,1,2,98761351,Apr-17,6750,3,4,3989,30,1000,562,0.52,3,Fastners Firestop Strut,1
192,2.56,Decline,1,1,98761352,Apr-17,2553,8,10,4296,26,4400,805,0.5,6,Power Tools,1
193,2.51,Decline,1,2,98761352,Apr-17,2648,1,3,2812,45,4400,194,0.66,6,Hilti Services,1
194,0.9,Decline,1,3,98761352,Apr-17,1851,14,9,657,12,4400,904,0.57,4,Contractor Services,3
195,2.37,Decline,1,1,98761352,Apr-17,3778,7,6,1468,13,4400,474,0.47,9,Fastners Firestop Strut,1
196,1.64,Stable,1,3,98761383,Apr-17,2301,11,10,2421,17,37,482,0.71,7,Power Tools,2
197,1.28,Stable,1,3,98761383,Apr-17,1926,10,3,1327,26,37,112,0.52,1,Hilti Services,2
198,1.34,Stable,1,3,98761383,Apr-17,6960,3,2,747,65,37,353,0.19,10,Contractor Services,3
199,2.08,Stable,1,2,98761383,Apr-17,8461,2,7,2861,44,37,618,0.13,7,Fastners Firestop Strut,3
200,2.77,Decline,1,2,98761384,Apr-17,224,5,1,922,22,7500,692,0.23,1,Power Tools,1
201,0.45,Decline,1,1,98761384,Apr-17,6429,15,9,3980,50,7500,773,0.62,10,Hilti Services,2
202,1.51,Decline,1,1,98761384,Apr-17,556,3,4,4671,11,7500,559,0.59,4,Contractor Services,3
203,2.37,Decline,1,3,98761384,Apr-17,6120,3,5,1449,56,7500,453,0.9,1,Fastners Firestop Strut,2
204,1.08,Stable,1,3,98761385,Apr-17,6270,4,9,713,65,3500,487,0.36,4,Power Tools,3
205,1.96,Stable,1,2,98761385,Apr-17,1883,3,4,4450,63,3500,890,0.67,7,Hilti Services,3
206,2.24,Stable,1,2,98761385,Apr-17,8250,2,5,2850,50,3500,411,0.58,7,Contractor Services,2
207,1.57,Stable,1,3,98761385,Apr-17,3835,8,2,4787,63,3500,758,0.25,10,Fastners Firestop Strut,3
208,1.17,Stable,1,3,98761386,Apr-17,8518,16,5,4802,25,180,124,0.8,2,Power Tools,1
209,0.78,Stable,1,2,98761386,Apr-17,2651,2,9,2892,45,180,680,0.28,1,Hilti Services,3
210,1.25,Stable,1,3,98761386,Apr-17,9088,16,4,3267,59,180,560,0.74,9,Contractor Services,3
211,2.28,Stable,1,1,98761386,Apr-17,9893,6,7,3474,23,180,303,0.98,7,Fastners Firestop Strut,3
212,1.75,Stable,1,1,98761387,Apr-17,2712,4,3,2322,66,150,302,0.99,2,Power Tools,2
213,2.86,Stable,1,1,98761387,Apr-17,6690,11,9,642,15,150,831,0.58,2,Hilti Services,1
214,1.43,Stable,1,2,98761387,Apr-17,9538,12,1,1615,57,150,775,0.97,9,Contractor Services,2
215,2.7,Stable,1,3,98761387,Apr-17,1305,11,5,3755,48,150,837,0.3,2,Fastners Firestop Strut,2
216,0.33,Stable,1,1,98761388,Apr-17,9511,16,6,4706,24,3500,956,0.67,1,Power Tools,2
217,2.52,Stable,1,2,98761388,Apr-17,8629,1,8,2279,58,3500,143,0.34,3,Hilti Services,1
218,1.46,Stable,1,2,98761388,Apr-17,5827,1,4,4158,42,3500,479,0.44,4,Contractor Services,1
219,1.05,Stable,1,3,98761388,Apr-17,8653,7,2,896,51,3500,526,0.49,4,Fastners Firestop Strut,1
220,2.56,Stable,1,1,98761389,Apr-17,5339,9,3,3283,70,3500,894,0.89,4,Power Tools,2
221,1.76,Stable,1,1,98761389,Apr-17,6892,4,8,4976,54,3500,768,0.73,2,Hilti Services,3
222,1.97,Stable,1,2,98761389,Apr-17,379,9,7,3083,17,3500,356,0.15,3,Contractor Services,2
223,1.22,Stable,1,1,98761389,Apr-17,5121,11,6,4074,32,3500,964,1,7,Fastners Firestop Strut,3
224,1.74,Stable,1,3,98761390,Apr-17,6724,12,1,4772,27,7,120,0.71,4,Power Tools,3
225,2.63,Stable,1,2,98761390,Apr-17,1182,14,8,2401,30,7,418,0.38,2,Hilti Services,1
226,2.99,Stable,1,1,98761390,Apr-17,1967,5,5,1300,30,7,417,0.39,4,Contractor Services,1
227,1.98,Stable,1,3,98761390,Apr-17,388,14,1,877,16,7,806,0.87,3,Fastners Firestop Strut,1
228,0.64,Stable,1,3,98761391,Apr-17,8737,9,6,3839,59,6,485,0.98,3,Power Tools,3
229,0.93,Stable,1,3,98761391,Apr-17,8225,11,9,1638,68,6,809,0.61,3,Hilti Services,3
230,0.58,Stable,1,2,98761391,Apr-17,8286,10,6,2530,56,6,781,0.99,5,Contractor Services,1
231,1.78,Stable,1,1,98761391,Apr-17,3649,1,7,2980,22,6,148,0.91,8,Fastners Firestop Strut,2
232,2.06,Stable,1,1,98761392,Apr-17,8249,5,8,4558,44,3500,855,0.95,3,Power Tools,3
233,0.49,Stable,1,1,98761392,Apr-17,2862,5,4,1301,52,3500,714,0.14,6,Hilti Services,3
234,2.79,Stable,1,3,98761392,Apr-17,9681,9,3,4405,20,3500,250,0.8,3,Contractor Services,1
235,2.21,Stable,1,2,98761392,Apr-17,3749,12,4,4751,12,3500,1000,0.89,10,Fastners Firestop Strut,2
236,2.1,Stable,1,1,98761259,May-17,1006,3,6,2802,39,75,747,0.94,6,Power Tools,3
237,1.12,Stable,1,2,98761259,May-17,3660,4,10,4849,70,75,420,0.38,3,Hilti Services,3
238,0.42,Stable,1,2,98761259,May-17,814,5,10,1077,33,75,107,0.42,8,Contractor Services,1
239,2.74,Stable,1,2,98761259,May-17,5140,16,7,1081,38,75,776,0.59,9,Fastners Firestop Strut,3
240,2.83,Growth,1,3,98761260,May-17,6350,1,3,2096,37,33000,400,0.56,10,Power Tools,1
241,2.3,Growth,1,3,98761260,May-17,7156,14,3,2679,11,33000,703,0.37,7,Hilti Services,2
242,0.56,Growth,1,2,98761260,May-17,1713,8,1,1434,49,33000,291,0.17,5,Contractor Services,2
243,2.99,Growth,1,1,98761260,May-17,6490,4,1,4198,23,33000,682,0.61,4,Fastners Firestop Strut,3
244,2.43,Decline,1,3,98761261,May-17,673,8,9,2973,23,90,203,0.24,7,Power Tools,2
